abandon  bỏ rơi, từ bỏ
achieve  đạt được
adapt  thích nghi
admire  ngưỡng mộ
advance  tiến bộ, tiến xa
advice  lời khuyên
afford  có khả năng chi trả
agreement  thỏa thuận
allow  cho phép
analyze  phân tích
anticipate  dự đoán, dự kiến
appreciate  đánh giá, trân trọng
approach  tiếp cận
argue  tranh cãi
assess  đánh giá
assume  giả định
attend  tham dự
attribute  đặc tính, thuộc tính
avoid  tránh né
baby  em bé
back  phía sau
balance  cân bằng
beautiful  đẹp đẽ
become  trở thành
behavior  hành vi
believe  tin tưởng
benefit  lợi ích
beyond  vượt ra ngoài
big  lớn
biology  sinh học
bird  con chim
birth  sự ra đời
black  đen
blend  trộn lẫn
blood  máu
body  cơ thể
book  sách
boundary  ranh giới
brave  gan dạ, dũng cảm
calculate  tính toán
calendar  lịch
camera  máy ảnh
campaign  chiến dịch
capacity  sức chứa, khả năng
capital  thủ đô, vốn
capture  bắt giữ, chụp hình
career  sự nghiệp
celebrate  kỷ niệm, tổ chức
challenge  thách thức
change  thay đổi
character  nhân vật, tính cách
charity  từ thiện
chemical  hóa học, hóa chất
choice  sự lựa chọn
circle  vòng tròn
circumstance  hoàn cảnh
city  thành phố
classic  điển hình, kinh điển
climate  khí hậu
damage  tổn thương, hỏng hóc
dance  nhảy múa
data  dữ liệu
debate  tranh luận
decide  quyết định
decorate  trang trí
decrease  giảm, suy giảm
define  định nghĩa
degree  bằng cấp, mức độ
deliver  giao hàng, chuyển phát
demand  yêu cầu, đòi hỏi
demonstrate  chứng minh
dentist  nha sĩ
describe  mô tả
design  thiết kế
destroy  phá hủy
develop  phát triển
difference  sự khác biệt
difficult  khó khăn
digital  số hóa
education  giáo dục
effective  hiệu quả
effort  nỗ lực
electric  điện
element  yếu tố
emphasize  nhấn mạnh
employee  nhân viên
encourage  khuyến khích
energy  năng lượng
engineer  kỹ sư
factor  yếu tố
family  gia đình
famous  nổi tiếng
fashion  thời trang
feature  đặc điểm, tính năng
federal  liên bang
finance  tài chính
focus  tập trung
forecast  dự báo
freedom  tự do
galaxy  dải ngân hà
gather  tụ tập
generate  tạo ra, sinh ra
generous  hào phóng
gesture  cử chỉ
global  toàn cầu
gradual  từ từ, dần dần
gravity  trọng lực
gratitude  lòng biết ơn
guidance  sự hướng dẫn
